yr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
1950,0.1295572,0.017877602,0.017877602,0.017877602,0.017877602,0.004179176,0.004179176,0.004179176,0.004179176,0.004179176,0.003156555,0.003156555,0.003156555,0.003156555,0.003156555,0.00445449,0.00445449,0.00445449,0.00445449,0.00445449,0.006047036,0.006047036,0.006047036,0.006047036,0.006047036,0.006696538,0.006696538,0.006696538,0.006696538,0.006696538,0.007616716,0.007616716,0.007616716,0.007616716,0.007616716,0.008845912,0.008845912,0.008845912,0.008845912,0.008845912,0.010510268,0.010510268,0.010510268,0.010510268,0.010510268,0.012630325,0.012630325,0.012630325,0.012630325,0.012630325,0.016697102,0.016697102,0.016697102,0.016697102,0.016697102,0.022021316,0.022021316,0.022021316,0.022021316,0.022021316,0.031324386,0.031324386,0.031324386,0.031324386,0.031324386,0.043471136,0.043471136,0.043471136,0.043471136,0.043471136,0.062395886,0.062395886,0.062395886,0.062395886,0.062395886,0.087875404,0.087875404,0.087875404,0.087875404,0.087875404,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906
1951,0.1295572,0.017877602,0.017877602,0.017877602,0.017877602,0.004179176,0.004179176,0.004179176,0.004179176,0.004179176,0.003156555,0.003156555,0.003156555,0.003156555,0.003156555,0.00445449,0.00445449,0.00445449,0.00445449,0.00445449,0.006047036,0.006047036,0.006047036,0.006047036,0.006047036,0.006696538,0.006696538,0.006696538,0.006696538,0.006696538,0.007616716,0.007616716,0.007616716,0.007616716,0.007616716,0.008845912,0.008845912,0.008845912,0.008845912,0.008845912,0.010510268,0.010510268,0.010510268,0.010510268,0.010510268,0.012630325,0.012630325,0.012630325,0.012630325,0.012630325,0.016697102,0.016697102,0.016697102,0.016697102,0.016697102,0.022021316,0.022021316,0.022021316,0.022021316,0.022021316,0.031324386,0.031324386,0.031324386,0.031324386,0.031324386,0.043471136,0.043471136,0.043471136,0.043471136,0.043471136,0.062395886,0.062395886,0.062395886,0.062395886,0.062395886,0.087875404,0.087875404,0.087875404,0.087875404,0.087875404,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906
1952,0.1295572,0.017877602,0.017877602,0.017877602,0.017877602,0.004179176,0.004179176,0.004179176,0.004179176,0.004179176,0.003156555,0.003156555,0.003156555,0.003156555,0.003156555,0.00445449,0.00445449,0.00445449,0.00445449,0.00445449,0.006047036,0.006047036,0.006047036,0.006047036,0.006047036,0.006696538,0.006696538,0.006696538,0.006696538,0.006696538,0.007616716,0.007616716,0.007616716,0.007616716,0.007616716,0.008845912,0.008845912,0.008845912,0.008845912,0.008845912,0.010510268,0.010510268,0.010510268,0.010510268,0.010510268,0.012630325,0.012630325,0.012630325,0.012630325,0.012630325,0.016697102,0.016697102,0.016697102,0.016697102,0.016697102,0.022021316,0.022021316,0.022021316,0.022021316,0.022021316,0.031324386,0.031324386,0.031324386,0.031324386,0.031324386,0.043471136,0.043471136,0.043471136,0.043471136,0.043471136,0.062395886,0.062395886,0.062395886,0.062395886,0.062395886,0.087875404,0.087875404,0.087875404,0.087875404,0.087875404,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906
1953,0.1295572,0.017877602,0.017877602,0.017877602,0.017877602,0.004179176,0.004179176,0.004179176,0.004179176,0.004179176,0.003156555,0.003156555,0.003156555,0.003156555,0.003156555,0.00445449,0.00445449,0.00445449,0.00445449,0.00445449,0.006047036,0.006047036,0.006047036,0.006047036,0.006047036,0.006696538,0.006696538,0.006696538,0.006696538,0.006696538,0.007616716,0.007616716,0.007616716,0.007616716,0.007616716,0.008845912,0.008845912,0.008845912,0.008845912,0.008845912,0.010510268,0.010510268,0.010510268,0.010510268,0.010510268,0.012630325,0.012630325,0.012630325,0.012630325,0.012630325,0.016697102,0.016697102,0.016697102,0.016697102,0.016697102,0.022021316,0.022021316,0.022021316,0.022021316,0.022021316,0.031324386,0.031324386,0.031324386,0.031324386,0.031324386,0.043471136,0.043471136,0.043471136,0.043471136,0.043471136,0.062395886,0.062395886,0.062395886,0.062395886,0.062395886,0.087875404,0.087875404,0.087875404,0.087875404,0.087875404,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906
1954,0.1295572,0.017877602,0.017877602,0.017877602,0.017877602,0.004179176,0.004179176,0.004179176,0.004179176,0.004179176,0.003156555,0.003156555,0.003156555,0.003156555,0.003156555,0.00445449,0.00445449,0.00445449,0.00445449,0.00445449,0.006047036,0.006047036,0.006047036,0.006047036,0.006047036,0.006696538,0.006696538,0.006696538,0.006696538,0.006696538,0.007616716,0.007616716,0.007616716,0.007616716,0.007616716,0.008845912,0.008845912,0.008845912,0.008845912,0.008845912,0.010510268,0.010510268,0.010510268,0.010510268,0.010510268,0.012630325,0.012630325,0.012630325,0.012630325,0.012630325,0.016697102,0.016697102,0.016697102,0.016697102,0.016697102,0.022021316,0.022021316,0.022021316,0.022021316,0.022021316,0.031324386,0.031324386,0.031324386,0.031324386,0.031324386,0.043471136,0.043471136,0.043471136,0.043471136,0.043471136,0.062395886,0.062395886,0.062395886,0.062395886,0.062395886,0.087875404,0.087875404,0.087875404,0.087875404,0.087875404,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906,0.117105906
1955,0.11441142,0.014791661,0.014791661,0.014791661,0.014791661,0.003587014,0.003587014,0.003587014,0.003587014,0.003587014,0.002703563,0.002703563,0.002703563,0.002703563,0.002703563,0.003922631,0.003922631,0.003922631,0.003922631,0.003922631,0.005353933,0.005353933,0.005353933,0.005353933,0.005353933,0.005937998,0.005937998,0.005937998,0.005937998,0.005937998,0.006749648,0.006749648,0.006749648,0.006749648,0.006749648,0.007868154,0.007868154,0.007868154,0.007868154,0.007868154,0.009428945,0.009428945,0.009428945,0.009428945,0.009428945,0.01153665,0.01153665,0.01153665,0.01153665,0.01153665,0.015440575,0.015440575,0.015440575,0.015440575,0.015440575,0.020650128,0.020650128,0.020650128,0.020650128,0.020650128,0.02961255,0.02961255,0.02961255,0.02961255,0.02961255,0.041621886,0.041621886,0.041621886,0.041621886,0.041621886,0.059931876,0.059931876,0.059931876,0.059931876,0.059931876,0.085046224,0.085046224,0.085046224,0.085046224,0.085046224,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204
1956,0.11441142,0.014791661,0.014791661,0.014791661,0.014791661,0.003587014,0.003587014,0.003587014,0.003587014,0.003587014,0.002703563,0.002703563,0.002703563,0.002703563,0.002703563,0.003922631,0.003922631,0.003922631,0.003922631,0.003922631,0.005353933,0.005353933,0.005353933,0.005353933,0.005353933,0.005937998,0.005937998,0.005937998,0.005937998,0.005937998,0.006749648,0.006749648,0.006749648,0.006749648,0.006749648,0.007868154,0.007868154,0.007868154,0.007868154,0.007868154,0.009428945,0.009428945,0.009428945,0.009428945,0.009428945,0.01153665,0.01153665,0.01153665,0.01153665,0.01153665,0.015440575,0.015440575,0.015440575,0.015440575,0.015440575,0.020650128,0.020650128,0.020650128,0.020650128,0.020650128,0.02961255,0.02961255,0.02961255,0.02961255,0.02961255,0.041621886,0.041621886,0.041621886,0.041621886,0.041621886,0.059931876,0.059931876,0.059931876,0.059931876,0.059931876,0.085046224,0.085046224,0.085046224,0.085046224,0.085046224,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204
1957,0.11441142,0.014791661,0.014791661,0.014791661,0.014791661,0.003587014,0.003587014,0.003587014,0.003587014,0.003587014,0.002703563,0.002703563,0.002703563,0.002703563,0.002703563,0.003922631,0.003922631,0.003922631,0.003922631,0.003922631,0.005353933,0.005353933,0.005353933,0.005353933,0.005353933,0.005937998,0.005937998,0.005937998,0.005937998,0.005937998,0.006749648,0.006749648,0.006749648,0.006749648,0.006749648,0.007868154,0.007868154,0.007868154,0.007868154,0.007868154,0.009428945,0.009428945,0.009428945,0.009428945,0.009428945,0.01153665,0.01153665,0.01153665,0.01153665,0.01153665,0.015440575,0.015440575,0.015440575,0.015440575,0.015440575,0.020650128,0.020650128,0.020650128,0.020650128,0.020650128,0.02961255,0.02961255,0.02961255,0.02961255,0.02961255,0.041621886,0.041621886,0.041621886,0.041621886,0.041621886,0.059931876,0.059931876,0.059931876,0.059931876,0.059931876,0.085046224,0.085046224,0.085046224,0.085046224,0.085046224,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204
1958,0.11441142,0.014791661,0.014791661,0.014791661,0.014791661,0.003587014,0.003587014,0.003587014,0.003587014,0.003587014,0.002703563,0.002703563,0.002703563,0.002703563,0.002703563,0.003922631,0.003922631,0.003922631,0.003922631,0.003922631,0.005353933,0.005353933,0.005353933,0.005353933,0.005353933,0.005937998,0.005937998,0.005937998,0.005937998,0.005937998,0.006749648,0.006749648,0.006749648,0.006749648,0.006749648,0.007868154,0.007868154,0.007868154,0.007868154,0.007868154,0.009428945,0.009428945,0.009428945,0.009428945,0.009428945,0.01153665,0.01153665,0.01153665,0.01153665,0.01153665,0.015440575,0.015440575,0.015440575,0.015440575,0.015440575,0.020650128,0.020650128,0.020650128,0.020650128,0.020650128,0.02961255,0.02961255,0.02961255,0.02961255,0.02961255,0.041621886,0.041621886,0.041621886,0.041621886,0.041621886,0.059931876,0.059931876,0.059931876,0.059931876,0.059931876,0.085046224,0.085046224,0.085046224,0.085046224,0.085046224,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204
1959,0.11441142,0.014791661,0.014791661,0.014791661,0.014791661,0.003587014,0.003587014,0.003587014,0.003587014,0.003587014,0.002703563,0.002703563,0.002703563,0.002703563,0.002703563,0.003922631,0.003922631,0.003922631,0.003922631,0.003922631,0.005353933,0.005353933,0.005353933,0.005353933,0.005353933,0.005937998,0.005937998,0.005937998,0.005937998,0.005937998,0.006749648,0.006749648,0.006749648,0.006749648,0.006749648,0.007868154,0.007868154,0.007868154,0.007868154,0.007868154,0.009428945,0.009428945,0.009428945,0.009428945,0.009428945,0.01153665,0.01153665,0.01153665,0.01153665,0.01153665,0.015440575,0.015440575,0.015440575,0.015440575,0.015440575,0.020650128,0.020650128,0.020650128,0.020650128,0.020650128,0.02961255,0.02961255,0.02961255,0.02961255,0.02961255,0.041621886,0.041621886,0.041621886,0.041621886,0.041621886,0.059931876,0.059931876,0.059931876,0.059931876,0.059931876,0.085046224,0.085046224,0.085046224,0.085046224,0.085046224,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204,0.114860204
