yr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
1960,0.15748447,0.02333502,0.02333502,0.02333502,0.02333502,0.007308527,0.007308527,0.007308527,0.007308527,0.007308527,0.004898686,0.004898686,0.004898686,0.004898686,0.004898686,0.005463859,0.005463859,0.005463859,0.005463859,0.005463859,0.006666586,0.006666586,0.006666586,0.006666586,0.006666586,0.007798059,0.007798059,0.007798059,0.007798059,0.007798059,0.009426952,0.009426952,0.009426952,0.009426952,0.009426952,0.01135817,0.01135817,0.01135817,0.01135817,0.01135817,0.013757202,0.013757202,0.013757202,0.013757202,0.013757202,0.017363479,0.017363479,0.017363479,0.017363479,0.017363479,0.021722522,0.021722522,0.021722522,0.021722522,0.021722522,0.02785734,0.02785734,0.02785734,0.02785734,0.02785734,0.038432248,0.038432248,0.038432248,0.038432248,0.038432248,0.051849256,0.051849256,0.051849256,0.051849256,0.051849256,0.06932867,0.06932867,0.06932867,0.06932867,0.06932867,0.089010412,0.089010412,0.089010412,0.089010412,0.089010412,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,1
1961,0.15748447,0.02333502,0.02333502,0.02333502,0.02333502,0.007308527,0.007308527,0.007308527,0.007308527,0.007308527,0.004898686,0.004898686,0.004898686,0.004898686,0.004898686,0.005463859,0.005463859,0.005463859,0.005463859,0.005463859,0.006666586,0.006666586,0.006666586,0.006666586,0.006666586,0.007798059,0.007798059,0.007798059,0.007798059,0.007798059,0.009426952,0.009426952,0.009426952,0.009426952,0.009426952,0.01135817,0.01135817,0.01135817,0.01135817,0.01135817,0.013757202,0.013757202,0.013757202,0.013757202,0.013757202,0.017363479,0.017363479,0.017363479,0.017363479,0.017363479,0.021722522,0.021722522,0.021722522,0.021722522,0.021722522,0.02785734,0.02785734,0.02785734,0.02785734,0.02785734,0.038432248,0.038432248,0.038432248,0.038432248,0.038432248,0.051849256,0.051849256,0.051849256,0.051849256,0.051849256,0.06932867,0.06932867,0.06932867,0.06932867,0.06932867,0.089010412,0.089010412,0.089010412,0.089010412,0.089010412,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,1
1962,0.15748447,0.02333502,0.02333502,0.02333502,0.02333502,0.007308527,0.007308527,0.007308527,0.007308527,0.007308527,0.004898686,0.004898686,0.004898686,0.004898686,0.004898686,0.005463859,0.005463859,0.005463859,0.005463859,0.005463859,0.006666586,0.006666586,0.006666586,0.006666586,0.006666586,0.007798059,0.007798059,0.007798059,0.007798059,0.007798059,0.009426952,0.009426952,0.009426952,0.009426952,0.009426952,0.01135817,0.01135817,0.01135817,0.01135817,0.01135817,0.013757202,0.013757202,0.013757202,0.013757202,0.013757202,0.017363479,0.017363479,0.017363479,0.017363479,0.017363479,0.021722522,0.021722522,0.021722522,0.021722522,0.021722522,0.02785734,0.02785734,0.02785734,0.02785734,0.02785734,0.038432248,0.038432248,0.038432248,0.038432248,0.038432248,0.051849256,0.051849256,0.051849256,0.051849256,0.051849256,0.06932867,0.06932867,0.06932867,0.06932867,0.06932867,0.089010412,0.089010412,0.089010412,0.089010412,0.089010412,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,1
1963,0.15748447,0.02333502,0.02333502,0.02333502,0.02333502,0.007308527,0.007308527,0.007308527,0.007308527,0.007308527,0.004898686,0.004898686,0.004898686,0.004898686,0.004898686,0.005463859,0.005463859,0.005463859,0.005463859,0.005463859,0.006666586,0.006666586,0.006666586,0.006666586,0.006666586,0.007798059,0.007798059,0.007798059,0.007798059,0.007798059,0.009426952,0.009426952,0.009426952,0.009426952,0.009426952,0.01135817,0.01135817,0.01135817,0.01135817,0.01135817,0.013757202,0.013757202,0.013757202,0.013757202,0.013757202,0.017363479,0.017363479,0.017363479,0.017363479,0.017363479,0.021722522,0.021722522,0.021722522,0.021722522,0.021722522,0.02785734,0.02785734,0.02785734,0.02785734,0.02785734,0.038432248,0.038432248,0.038432248,0.038432248,0.038432248,0.051849256,0.051849256,0.051849256,0.051849256,0.051849256,0.06932867,0.06932867,0.06932867,0.06932867,0.06932867,0.089010412,0.089010412,0.089010412,0.089010412,0.089010412,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,1
1964,0.15748447,0.02333502,0.02333502,0.02333502,0.02333502,0.007308527,0.007308527,0.007308527,0.007308527,0.007308527,0.004898686,0.004898686,0.004898686,0.004898686,0.004898686,0.005463859,0.005463859,0.005463859,0.005463859,0.005463859,0.006666586,0.006666586,0.006666586,0.006666586,0.006666586,0.007798059,0.007798059,0.007798059,0.007798059,0.007798059,0.009426952,0.009426952,0.009426952,0.009426952,0.009426952,0.01135817,0.01135817,0.01135817,0.01135817,0.01135817,0.013757202,0.013757202,0.013757202,0.013757202,0.013757202,0.017363479,0.017363479,0.017363479,0.017363479,0.017363479,0.021722522,0.021722522,0.021722522,0.021722522,0.021722522,0.02785734,0.02785734,0.02785734,0.02785734,0.02785734,0.038432248,0.038432248,0.038432248,0.038432248,0.038432248,0.051849256,0.051849256,0.051849256,0.051849256,0.051849256,0.06932867,0.06932867,0.06932867,0.06932867,0.06932867,0.089010412,0.089010412,0.089010412,0.089010412,0.089010412,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,0.028367615,1
1965,0.14676498,0.02137019,0.02137019,0.02137019,0.02137019,0.006302679,0.006302679,0.006302679,0.006302679,0.006302679,0.003766012,0.003766012,0.003766012,0.003766012,0.003766012,0.004138293,0.004138293,0.004138293,0.004138293,0.004138293,0.005090139,0.005090139,0.005090139,0.005090139,0.005090139,0.005922077,0.005922077,0.005922077,0.005922077,0.005922077,0.007293526,0.007293526,0.007293526,0.007293526,0.007293526,0.008843978,0.008843978,0.008843978,0.008843978,0.008843978,0.010998686,0.010998686,0.010998686,0.010998686,0.010998686,0.01440952,0.01440952,0.01440952,0.01440952,0.01440952,0.018910724,0.018910724,0.018910724,0.018910724,0.018910724,0.025036028,0.025036028,0.025036028,0.025036028,0.025036028,0.035980332,0.035980332,0.035980332,0.035980332,0.035980332,0.049020976,0.049020976,0.049020976,0.049020976,0.049020976,0.06602463,0.06602463,0.06602463,0.06602463,0.06602463,0.085411718,0.085411718,0.085411718,0.085411718,0.085411718,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,1
1966,0.14676498,0.02137019,0.02137019,0.02137019,0.02137019,0.006302679,0.006302679,0.006302679,0.006302679,0.006302679,0.003766012,0.003766012,0.003766012,0.003766012,0.003766012,0.004138293,0.004138293,0.004138293,0.004138293,0.004138293,0.005090139,0.005090139,0.005090139,0.005090139,0.005090139,0.005922077,0.005922077,0.005922077,0.005922077,0.005922077,0.007293526,0.007293526,0.007293526,0.007293526,0.007293526,0.008843978,0.008843978,0.008843978,0.008843978,0.008843978,0.010998686,0.010998686,0.010998686,0.010998686,0.010998686,0.01440952,0.01440952,0.01440952,0.01440952,0.01440952,0.018910724,0.018910724,0.018910724,0.018910724,0.018910724,0.025036028,0.025036028,0.025036028,0.025036028,0.025036028,0.035980332,0.035980332,0.035980332,0.035980332,0.035980332,0.049020976,0.049020976,0.049020976,0.049020976,0.049020976,0.06602463,0.06602463,0.06602463,0.06602463,0.06602463,0.085411718,0.085411718,0.085411718,0.085411718,0.085411718,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,1
1967,0.14676498,0.02137019,0.02137019,0.02137019,0.02137019,0.006302679,0.006302679,0.006302679,0.006302679,0.006302679,0.003766012,0.003766012,0.003766012,0.003766012,0.003766012,0.004138293,0.004138293,0.004138293,0.004138293,0.004138293,0.005090139,0.005090139,0.005090139,0.005090139,0.005090139,0.005922077,0.005922077,0.005922077,0.005922077,0.005922077,0.007293526,0.007293526,0.007293526,0.007293526,0.007293526,0.008843978,0.008843978,0.008843978,0.008843978,0.008843978,0.010998686,0.010998686,0.010998686,0.010998686,0.010998686,0.01440952,0.01440952,0.01440952,0.01440952,0.01440952,0.018910724,0.018910724,0.018910724,0.018910724,0.018910724,0.025036028,0.025036028,0.025036028,0.025036028,0.025036028,0.035980332,0.035980332,0.035980332,0.035980332,0.035980332,0.049020976,0.049020976,0.049020976,0.049020976,0.049020976,0.06602463,0.06602463,0.06602463,0.06602463,0.06602463,0.085411718,0.085411718,0.085411718,0.085411718,0.085411718,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,1
1968,0.14676498,0.02137019,0.02137019,0.02137019,0.02137019,0.006302679,0.006302679,0.006302679,0.006302679,0.006302679,0.003766012,0.003766012,0.003766012,0.003766012,0.003766012,0.004138293,0.004138293,0.004138293,0.004138293,0.004138293,0.005090139,0.005090139,0.005090139,0.005090139,0.005090139,0.005922077,0.005922077,0.005922077,0.005922077,0.005922077,0.007293526,0.007293526,0.007293526,0.007293526,0.007293526,0.008843978,0.008843978,0.008843978,0.008843978,0.008843978,0.010998686,0.010998686,0.010998686,0.010998686,0.010998686,0.01440952,0.01440952,0.01440952,0.01440952,0.01440952,0.018910724,0.018910724,0.018910724,0.018910724,0.018910724,0.025036028,0.025036028,0.025036028,0.025036028,0.025036028,0.035980332,0.035980332,0.035980332,0.035980332,0.035980332,0.049020976,0.049020976,0.049020976,0.049020976,0.049020976,0.06602463,0.06602463,0.06602463,0.06602463,0.06602463,0.085411718,0.085411718,0.085411718,0.085411718,0.085411718,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,1
1969,0.14676498,0.02137019,0.02137019,0.02137019,0.02137019,0.006302679,0.006302679,0.006302679,0.006302679,0.006302679,0.003766012,0.003766012,0.003766012,0.003766012,0.003766012,0.004138293,0.004138293,0.004138293,0.004138293,0.004138293,0.005090139,0.005090139,0.005090139,0.005090139,0.005090139,0.005922077,0.005922077,0.005922077,0.005922077,0.005922077,0.007293526,0.007293526,0.007293526,0.007293526,0.007293526,0.008843978,0.008843978,0.008843978,0.008843978,0.008843978,0.010998686,0.010998686,0.010998686,0.010998686,0.010998686,0.01440952,0.01440952,0.01440952,0.01440952,0.01440952,0.018910724,0.018910724,0.018910724,0.018910724,0.018910724,0.025036028,0.025036028,0.025036028,0.025036028,0.025036028,0.035980332,0.035980332,0.035980332,0.035980332,0.035980332,0.049020976,0.049020976,0.049020976,0.049020976,0.049020976,0.06602463,0.06602463,0.06602463,0.06602463,0.06602463,0.085411718,0.085411718,0.085411718,0.085411718,0.085411718,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,0.02737961,1
