0.43,0.73,1.21,1.96,3.04,4.42,5.94,7.3,8.3,8.93,9.34,9.63,9.85,9.76,9.48,9.08,8.59,7.72,7.12,4.97,3.75,3.73,3.64,2.64,2.4,2.79,2.37,2.09,2.01,1.93,1.84,1.74,1.64,1.55,1.46,1.37,1.3,1.23,1.16,1.1,1.05,1.01,0.97,0.93,0.9,0.87,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.63,0.61,0.59,0.58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.72,2.84,4.58,7.03,10.06,13.2,15.61,16.44,15.57,13.87,12.23,11.02,10.23,9.75,9.43,9.1,8.74,8.26,7.71,7.25,7.23,6.77,5.91,5.54,4.47,3.85,3.38,2.36,1.87,1.83,1.82,1.8,1.78,1.76,1.74,1.73,1.72,1.71,1.7,1.68,1.66,1.64,1.62,1.59,1.56,1.53,1.5,1.47,1.43,1.4,1.36,1.32,1.29,1.25,1.22,1.18,1.15,1.12,1.09,1.06,1.03
4.4,7.4,11.93,18.29,26.14,34.39,40.31,42.43,40.33,36.2,32.21,29.24,27.33,26.17,25.34,24.48,23.47,22.11,20.58,19.3,19.18,17.92,15.59,14.6,11.76,10.1,8.83,6.12,4.82,4.7,4.64,4.6,4.57,4.55,4.54,4.53,4.5,4.46,4.41,4.36,4.3,4.24,4.19,4.13,4.07,3.98,3.9,3.8,3.7,3.6,3.51,3.41,3.32,3.23,3.14,3.05,2.97,2.89,2.81,2.74,2.67
4.98,8.31,13.41,20.54,29.21,37.84,44.9,47.17,44.78,40.2,35.93,32.42,30.41,29.34,28.72,28.03,27.11,25.71,24.01,22.55,22.42,20.9,18.1,16.86,13.5,11.54,10.07,6.99,5.52,5.38,5.3,5.22,5.14,5.06,5,4.97,4.95,4.95,4.94,4.93,4.89,4.83,4.75,4.66,4.56,4.47,4.37,4.28,4.19,4.09,3.97,3.86,3.75,3.63,3.52,3.43,3.33,3.24,3.16,3.07,3
4.53,7.55,12.2,18.72,26.73,34.96,41.2,43.3,41,36.5,32.02,29.13,27.17,26.12,25.55,25.07,24.16,23.05,21.72,20.63,20.75,19.55,17.06,15.98,12.82,10.96,9.55,6.59,5.17,5.01,4.92,4.83,4.76,4.71,4.67,4.63,4.59,4.53,4.47,4.42,4.36,4.32,4.29,4.25,4.21,4.14,4.06,3.96,3.84,3.74,3.63,3.53,3.44,3.35,3.26,3.17,3.08,2.99,2.9,2.81,2.74
3.85,6.36,10.2,15.56,22.23,29.16,34.46,36.33,34.47,30.75,27.12,24.43,22.69,21.69,21.01,20.21,19.63,18.62,17.48,16.59,16.81,15.81,13.91,13.16,10.68,9.23,8.13,5.65,4.46,4.33,4.25,4.17,4.09,4.02,3.96,3.91,3.87,3.83,3.8,3.76,3.72,3.66,3.59,3.52,3.44,3.38,3.32,3.26,3.21,3.15,3.08,2.99,2.9,2.81,2.72,2.64,2.57,2.5,2.44,2.38,2.31
3.05,5.14,8.36,12.84,18.23,23.65,27.7,28.97,27.36,24.42,21.6,19.5,18.14,17.34,16.81,16.25,15.61,14.74,13.76,12.93,12.84,12.16,10.65,10.03,8.15,7.09,6.23,4.37,3.48,3.43,3.4,3.37,3.33,3.29,3.25,3.21,3.17,3.12,3.08,3.03,2.98,2.93,2.88,2.84,2.79,2.73,2.67,2.6,2.52,2.45,2.38,2.33,2.28,2.23,2.18,2.13,2.07,2.01,1.95,1.89,1.84
2.32,3.86,6.21,9.55,13.74,18.18,21.59,22.89,21.74,19.31,16.92,15.18,14.03,13.38,12.98,12.6,12.13,11.47,10.69,10.03,9.97,9.32,8.1,7.59,6.11,5.22,4.63,3.23,2.57,2.53,2.52,2.5,2.49,2.49,2.48,2.48,2.47,2.46,2.43,2.4,2.36,2.32,2.27,2.22,2.17,2.11,2.06,2.01,1.96,1.91,1.86,1.81,1.75,1.69,1.64,1.59,1.56,1.52,1.49,1.46,1.43
1.74,2.92,4.73,7.27,10.35,13.47,15.75,16.47,15.62,14.09,12.64,11.57,10.87,10.42,10.05,9.65,9.23,8.68,8.08,7.6,7.58,7.08,6.15,5.74,4.6,3.94,3.45,2.39,1.89,1.84,1.81,1.81,1.8,1.79,1.79,1.8,1.79,1.79,1.79,1.79,1.78,1.76,1.74,1.71,1.67,1.63,1.59,1.54,1.5,1.45,1.4,1.36,1.32,1.28,1.25,1.21,1.18,1.14,1.1,1.07,1.04
1.29,2.16,3.5,5.39,7.71,10.09,11.87,12.47,11.78,10.46,9.2,8.3,7.72,7.41,7.27,7.14,6.94,6.63,6.21,5.81,5.75,5.35,4.63,4.32,3.47,2.98,2.61,1.81,1.42,1.38,1.36,1.34,1.32,1.31,1.3,1.28,1.29,1.29,1.28,1.28,1.28,1.27,1.26,1.26,1.25,1.23,1.21,1.18,1.15,1.12,1.09,1.05,1.01,0.98,0.95,0.92,0.89,0.86,0.84,0.82,0.79
1.04,1.73,2.8,4.29,6.14,8.04,9.49,9.97,9.42,8.37,7.36,6.62,6.15,5.87,5.69,5.49,5.28,4.98,4.67,4.43,4.48,4.24,3.73,3.51,2.81,2.4,2.09,1.44,1.13,1.11,1.09,1.08,1.06,1.05,1.04,1.03,1.02,1.01,1,1,0.98,0.98,0.97,0.96,0.95,0.95,0.93,0.92,0.9,0.89,0.87,0.85,0.83,0.81,0.79,0.76,0.74,0.71,0.69,0.67,0.65
0.97,1.62,2.63,4.04,5.79,7.6,8.99,9.48,8.99,8,7.05,6.33,5.84,5.55,5.35,5.16,4.94,4.67,4.36,4.1,4.09,3.82,3.32,3.12,2.53,2.2,1.94,1.36,1.08,1.05,1.03,1.01,0.99,0.98,0.97,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.9,0.89,0.87,0.85,0.84,0.83,0.81,0.8,0.79,0.77,0.76,0.74,0.73,0.71,0.7,0.68,0.67,0.65,0.63
1.03,1.71,2.76,4.23,6.1,8.09,9.64,10.23,9.73,8.68,7.65,6.88,6.38,6.07,5.86,5.65,5.41,5.08,4.72,4.42,4.39,4.11,3.6,3.39,2.73,2.35,2.06,1.42,1.12,1.11,1.1,1.1,1.1,1.09,1.08,1.06,1.04,1.03,1.02,1.01,1,0.98,0.96,0.95,0.93,0.91,0.89,0.87,0.85,0.83,0.8,0.79,0.77,0.76,0.74,0.73,0.71,0.7,0.69,0.68,0.66
0.43,0.72,1.16,1.78,2.53,3.32,3.94,4.2,4.06,3.72,3.36,3.08,2.86,2.7,2.57,2.44,2.31,2.16,2,1.86,1.83,1.68,1.43,1.31,1.04,0.88,0.77,0.54,0.42,0.41,0.4,0.39,0.39,0.38,0.38,0.39,0.39,0.4,0.39,0.39,0.38,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.31,0.3,0.3,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
