1990,
 55-59 ,10.46
 60-64 ,8.37
 65-69 ,8
 70-74 ,8.68
 75-79 ,3.72
 80+ ,0
Total,16.3
2000,
 0-4,9.34
 5-9,0
 10-14 ,0
 15-19 ,12.23
 20-24 ,32.21
 25-29 ,35.93
 30-34 ,32.02
 35-39 ,27.12
 40-44 ,21.6
 45-49 ,16.92
 50-54 ,12.64
 55-59 ,9.2
 60-64 ,7.36
 65-69 ,7.05
 70-74 ,7.65
 75-79 ,3.36
 80+ ,0
Total,14.54
2001,
 0-4,9.63
 5-9,0
 10-14 ,0
 15-19 ,11.02
 20-24 ,29.24
 25-29 ,32.42
 30-34 ,29.13
 35-39 ,24.43
 40-44 ,19.5
 45-49 ,15.18
 50-54 ,11.57
 55-59 ,8.3
 60-64 ,6.62
 65-69 ,6.33
 70-74 ,6.88
 75-79 ,3.08
 80+ ,0
Total,13.27
2002,
 0-4,9.85
 5-9,0
 10-14 ,0
 15-19 ,10.23
 20-24 ,27.33
 25-29 ,30.41
 30-34 ,27.17
 35-39 ,22.69
 40-44 ,18.14
 45-49 ,14.03
 50-54 ,10.87
 55-59 ,7.72
 60-64 ,6.15
 65-69 ,5.84
 70-74 ,6.38
 75-79 ,2.86
 80+ ,0
Total,12.49
2003,
 0-4,9.76
 5-9,0
 10-14 ,0
 15-19 ,9.75
 20-24 ,26.17
 25-29 ,29.34
 30-34 ,26.12
 35-39 ,21.69
 40-44 ,17.34
 45-49 ,13.38
 50-54 ,10.42
 55-59 ,7.41
 60-64 ,5.87
 65-69 ,5.55
 70-74 ,6.07
 75-79 ,2.7
 80+ ,0
Total,12.05
2004,
 0-4,9.48
 5-9,0
 10-14 ,0
 15-19 ,9.43
 20-24 ,25.34
 25-29 ,28.72
 30-34 ,25.55
 35-39 ,21.01
 40-44 ,16.81
 45-49 ,12.98
 50-54 ,10.05
 55-59 ,7.27
 60-64 ,5.69
 65-69 ,5.35
 70-74 ,5.86
 75-79 ,2.57
 80+ ,0
Total,11.77
2005,
 0-4,9.08
 5-9,0
 10-14 ,0
 15-19 ,9.1
 20-24 ,24.48
 25-29 ,28.03
 30-34 ,25.07
 35-39 ,20.21
 40-44 ,16.25
 45-49 ,12.6
 50-54 ,9.65
 55-59 ,7.14
 60-64 ,5.49
 65-69 ,5.16
 70-74 ,5.65
 75-79 ,2.44
 80+ ,0
Total,11.47
2006,
 0-4,8.59
 5-9,0
 10-14 ,0
 15-19 ,8.74
 20-24 ,23.47
 25-29 ,27.11
 30-34 ,24.16
 35-39 ,19.63
 40-44 ,15.61
 45-49 ,12.13
 50-54 ,9.23
 55-59 ,6.94
 60-64 ,5.28
 65-69 ,4.94
 70-74 ,5.41
 75-79 ,2.31
 80+ ,0
Total,11.11
2007,
 0-4,7.72
 5-9,0
 10-14 ,0
 15-19 ,8.26
 20-24 ,22.11
 25-29 ,25.71
 30-34 ,23.05
 35-39 ,18.62
 40-44 ,14.74
 45-49 ,11.47
 50-54 ,8.68
 55-59 ,6.63
 60-64 ,4.98
 65-69 ,4.67
 70-74 ,5.08
 75-79 ,2.16
 80+ ,0
Total,10.54
2008,
 0-4,7.12
 5-9,0
 10-14 ,0
 15-19 ,7.71
 20-24 ,20.58
 25-29 ,24.01
 30-34 ,21.72
 35-39 ,17.48
 40-44 ,13.76
 45-49 ,10.69
 50-54 ,8.08
 55-59 ,6.21
 60-64 ,4.67
 65-69 ,4.36
 70-74 ,4.72
 75-79 ,2
 80+ ,0
Total,9.9
2009,
 0-4,4.97
 5-9,0
 10-14 ,0
 15-19 ,7.25
 20-24 ,19.3
 25-29 ,22.55
 30-34 ,20.63
 35-39 ,16.59
 40-44 ,12.93
 45-49 ,10.03
 50-54 ,7.6
 55-59 ,5.81
 60-64 ,4.43
 65-69 ,4.1
 70-74 ,4.42
 75-79 ,1.86
 80+ ,0
Total,9.17
2010,
 0-4,3.75
 5-9,0
 10-14 ,0
 15-19 ,7.23
 20-24 ,19.18
 25-29 ,22.42
 30-34 ,20.75
 35-39 ,16.81
 40-44 ,12.84
 45-49 ,9.97
 50-54 ,7.58
