yr,C,A,A1549
1990,0.025830872,0.568941584,0.7
1991,0.045795964,0.932622873,1.1
1992,0.080096768,1.517740313,1.9
1993,0.132445314,2.380991214,2.9
1994,0.204086698,3.53448144,4.3
1995,0.308393588,4.842091933,6
1996,0.443887264,6.16403997,7.8
1997,0.598650706,7.776838391,9.7
1998,0.77978582,8.970692093,11.3
1999,0.974835277,10.44771492,12.8
2000,1.171187614,11.1992042,14
2001,1.362008675,12.27128504,15
2002,1.61855543,12.98277683,15.8
2003,1.811491533,13.66805531,16.4
2004,2.005249355,14.0295354,16.9
2005,2.134678552,14.38780605,17.3
2006,2.323456513,14.76214131,17.6
2007,2.447391232,15.13368104,17.8
2008,2.569780296,15.49649211,18
2009,2.496805529,15.55832066,18.2
2010,2.484511935,15.88300523,18.3
2011,2.407929794,16.1722149,18.4
2012,2.391876332,16.16766777,18.6
2013,2.311590245,16.41901365,18.7
2014,2.170819558,16.65945278,18.8
2015,2.095484705,16.89454593,18.9
2016,1.957911151,17.14075819,18.9
