"Year","V2","V3","V4"
2000,698.012382472685,326.716532475173,1006.82216896711
2001,826.122116588696,405.428532005525,1166.36568160263
2002,960.599451454156,485.042680402752,1332.18693693826
2003,1079.6175884282,556.492036697393,1500.14212836775
2004,1184.65838916966,617.67385968714,1644.51657533015
2005,1267.27275464327,663.433925065218,1760.60427933385
2006,1309.80426401175,682.587172162643,1822.40972584988
2007,1317.59344549837,675.54484388097,1826.06090930963
2008,1302.37468750172,654.269990602793,1781.96408083778
2009,1279.27234654971,632.470447474303,1716.80986126621
2010,1238.15854615293,601.061089120517,1629.92371231307
2011,1178.14385476786,560.608811753714,1527.60899079198
2012,1103.14161565867,515.772105946217,1413.14489495228
2013,1017.34893671233,468.576809511921,1293.7753940949
2014,943.289831530543,423.602630622656,1179.92301858469
2015,873.149162973335,385.211208125952,1079.47241673912
2016,807.745722610598,352.63548066,1000.92947145638
2017,741.73140320071,321.257097902277,946.495263276372
2018,683.828701340512,294.184632795897,899.938306018107
2019,628.897989856181,270.591099153234,856.230940070781
2020,581.702277816146,249.609722650257,815.075121349285
2021,537.962982067786,231.488211699257,777.071754861447
2022,501.052915876899,216.795072079637,744.153406898634
2023,471.64009084523,205.64465363348,717.534803840183
2024,447.872569070403,196.837255534068,695.666492781017
2025,428.680327953811,189.645907201448,677.802280120679
2026,412.445338822381,183.279582989076,661.944883132831
2027,397.428818378843,177.488989510894,647.504887181127
2028,383.440854786072,172.136075558712,634.097898057618
2029,371.767201200552,167.12849340137,621.47208189162
2030,361.327579492059,162.578760490678,610.103772807548
2031,351.87198349976,158.264434470382,599.209739291538
2032,343.043120376163,154.163561642283,588.671862497291
2033,334.012554550611,150.249525710797,578.410572036029
2034,325.582448816774,146.500150726951,568.369359244729
2035,317.907398518355,143.019145829956,558.979719957692
2036,310.507487940761,139.673066228394,549.763281388534
2037,303.091194546394,136.446212608227,540.659492469935
2038,295.868808844252,133.326028501637,531.640859048809
2039,289.539801830995,130.3047360636,522.687874423834
2040,283.285757775802,127.473923335919,514.188679814542
2041,276.799470783965,124.727115761012,506.092022290226
2042,270.896306655473,122.055575423884,497.986861880036
2043,264.81132584022,119.450294884499,489.824390631134
2044,258.97308416431,116.907761471438,481.602579860018
2045,253.409009467016,114.516349504433,473.723383074754
2046,247.902177127712,112.180474664897,465.819877996351
2047,242.949751316983,109.512902499687,457.876342125084
2048,237.863939618834,106.325356409723,449.895204683562
2049,233.068747946554,103.236312693809,441.883209573472
2050,228.185063262127,100.327789844046,434.210260141218
