"Year","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2031,64701.0369300839,62669.1966114379,68317.7082655987,16186.6370973144,15684.7883859806,17040.9224308454,42707.6615182689,41380.2088950582,45404.3922196894,5805.18722489509,5604.1993303991,5993.36061336324
2032,65236.4606239163,63191.4653858682,68900.6992306746,16133.8344584947,15633.9209963355,16992.2869990463,43164.0514661274,41826.5164372767,45900.0521756827,5935.05597155561,5731.02795225607,6130.50852947665
2033,65760.746241003,63713.0349237533,69481.3018110973,16077.0206128135,15579.2013652976,16937.9743373861,43624.4347817117,42274.4719826022,46397.3683611292,6066.26852448683,5859.36157585357,6269.40641664774
2034,66291.0887850274,64232.4995650686,70060.0801020592,16015.6002599908,15518.2541439064,16877.3611931577,44086.0666901992,42723.199319655,46895.0645920519,6201.33919829912,5991.0461015072,6412.02476342184
2035,66793.429765455,64721.856487754,70605.8063460423,15981.741287747,15485.3106994291,16847.613315856,44484.2074903331,43111.6580858509,47326.0452321,6339.45499109559,6124.88770247392,6557.14256472891
2036,67303.2660958824,65216.9606425461,71157.44337163,15946.8040842238,15449.9303727696,16814.9059377378,44883.2163607072,43501.7716654409,47759.032408819,6483.26086552927,6265.25860433563,6708.83564568365
2037,67806.3458774151,65709.7977264335,71705.5359925975,15907.6623400231,15411.5501400405,16777.8143476176,45277.450664004,43887.1390196783,48187.1706005717,6633.23759145565,6411.10856671464,6866.40468915556
2038,68312.0596351036,66200.1619699891,72250.7206014386,15863.6834455565,15369.7985033495,16737.0239466346,45670.0825667633,44267.1324559433,48609.1408881883,6788.06225743041,6563.23101069633,7031.15513771423
2039,68809.8883454197,66687.6454581996,72791.5717657922,15815.9657301862,15324.1708908716,16689.7072896049,46053.7228958682,44638.0356483559,49022.9359147583,6954.10145560755,6725.43891897213,7208.06729677338
2040,69283.2603680933,67147.7820590794,73302.2915381283,15794.7862498206,15304.6540129827,16670.7415499776,46380.5052482763,44955.1856629773,49377.8129971573,7120.19586307944,6887.9423831194,7385.19766715632
2041,69754.2001629138,67612.1454299721,73817.5940002476,15770.9306738382,15283.2182189664,16649.4041803309,46697.1510030476,45263.6709287289,49724.1337029989,7302.33056705088,7065.25628227679,7577.52025619758
2042,70228.3112352737,68072.7166341129,74328.8104290268,15744.7619034201,15258.3755666194,16626.3117299085,46997.1333906283,45556.7065398317,50053.0332736908,7500.02339686914,7257.6345276618,7785.09504518161
2043,70694.3064658329,68529.0753319881,74834.5305238376,15715.8898885309,15231.7694182796,16598.8983470559,47280.4333012907,45830.5810467657,50363.5664612834,7712.88135882952,7466.72486694275,8009.5316020572
2044,71155.9492499507,68980.7288581032,75335.234545426,15682.1739975698,15200.867113764,16567.5701123791,47543.2216310986,46083.9877339782,50652.9673683284,7944.5981261115,7687.46297118077,8254.78800816074
2045,71591.4025485176,69400.1498524244,75801.4077492039,15658.865179401,15177.7937909139,16546.2781710259,47767.2160709213,46299.3900355627,50901.0156435222,8174.66214669951,7902.94524984848,8496.60014588677
2046,72028.6264054998,69823.5147763623,76270.8822207982,15633.829100267,15154.8253431673,16522.4865248649,47975.5243560633,46499.2713004721,51135.3988585298,8426.25944278765,8138.36780899355,8758.27628924247
2047,72461.4796625054,70241.408850126,76734.5570234801,15606.1164185412,15128.4626532961,16495.7240610206,48160.6794586368,46677.6051973063,51348.175821429,8698.54321796887,8392.9927121168,9039.45003651521
2048,72887.6970728795,70653.4557309475,77191.8498065564,15575.3585686076,15099.1566294503,16467.1496911014,48322.3248274705,46832.4843010637,51535.4396943934,8986.94636372206,8669.84710358157,9344.27308940874
2049,73309.4619668307,71059.1224017776,77641.4369909214,15540.7413132305,15067.0630947696,16433.4361518523,48457.0074644412,46959.9879054508,51697.1038398205,9304.83961114529,8971.2308007423,9673.66012297398
2050,73696.933573006,71433.855614456,78057.9418670802,15502.469285422,15031.5073260058,16396.1643662838,48599.3814830637,47094.9756642981,51867.3559954192,9586.39559374367,9238.76389128724,9965.25048979341
