"Year","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2000,47917.526986103,46758.9289757145,48844.2693087893,16080.4142867885,15722.3756133538,16535.3940707827,29468.4607126879,28745.1490064856,29914.0891526931,2361.69944442194,2291.40435587515,2400.77302627212
2001,48494.4276204489,47291.9035566394,49523.5739969485,16088.2514262444,15721.0564022849,16649.1986657864,29955.4913335224,29203.5899410432,30421.1728844168,2440.98166580231,2367.2572133113,2481.62248585072
2002,49040.9052578904,47793.1078721008,50186.3158330763,16081.6150537931,15704.8749719488,16770.3965353989,30429.4133181233,29645.3721908224,30915.6307083951,2520.3767084323,2442.86070932959,2562.34155179914
2003,49551.0034033181,48257.6989051105,50827.2101811733,16058.9618852522,15672.1628934952,16897.7157603373,30877.3222603171,30065.8155912113,31390.0690846067,2601.27131521382,2519.72042040408,2644.46047698262
2004,50023.6377389115,48684.9483560375,51448.0411814951,16017.72195328,15622.5268502727,17030.7585177335,31302.8042234246,30464.5179874571,31846.2134204714,2683.76920196766,2597.90351830777,2728.15891926208
2005,50427.3707837562,49048.3147253171,52014.4195225565,16051.8773529436,15648.4851173685,17263.172804179,31584.0086430892,30721.3039035577,32155.0994346218,2768.54857609815,2678.52570439092,2815.94550408721
2006,50818.5973634779,49409.0313174324,52596.6189124842,16077.6622654989,15666.8980622749,17486.9530426503,31866.9082331119,30981.6667059617,32466.1031021248,2854.94887105516,2760.4665491958,2906.18005305087
2007,51220.5248533806,49779.0485179282,53219.7528143416,16092.9168898297,15674.3067534856,17700.3888585464,32169.4931601827,31261.3389954973,32806.224245784,2942.04327009967,2843.40276894527,2997.67268358569
2008,51642.316728329,50167.2860916958,53848.8494211586,16097.5826045787,15670.41781605,17924.1000884949,32498.2957588646,31569.2903180284,33182.469502426,3030.15303201823,2927.57795761737,3090.59643895481
2009,52075.2165689095,50572.0239229468,54431.5618033317,16093.2764978453,15660.0525159265,18038.6927912103,32847.7029333073,31898.7921436674,33580.4065573825,3119.87033884547,3013.17926335287,3185.0102373719
2010,52524.9426564907,50990.999778816,54928.6397943801,16144.3042511352,15702.8909009609,18059.7250856687,33153.060545486,32181.4122076197,33929.9912371552,3217.43906563956,3106.69667023539,3287.70294633023
2011,53007.089487236,51447.8760229818,55456.3159901011,16199.7583014564,15751.1956868282,17981.1092226734,33489.6552894059,32492.8027212836,34340.5949789635,3318.76583561199,3203.87761487003,3394.22096506351
2012,53533.2160103641,51943.5564625879,56056.7451787983,16258.7107113851,15800.9966412859,17874.7058653152,33856.7007587607,32840.0716796102,34814.6537960997,3421.9180656528,3302.48814169189,3502.20477309077
2013,54092.719544983,52467.6960460168,56684.9701018042,16314.6457171027,15851.2797987914,17766.6377383863,34248.3251346564,33213.6912560894,35384.9513520383,3526.45439591134,3402.72499113594,3611.84642348842
2014,54668.3187898575,53020.4387006653,57340.2600600252,16370.9809341623,15902.7186707677,17676.9764172634,34665.3147805642,33613.0138362879,36021.4770121561,3632.41970583612,3504.70619360976,3723.02073198857
2015,55234.1188029359,53561.3645115935,57978.2859585515,16406.9164523204,15931.8981532682,17584.161094434,35088.4636871266,34015.0265369152,36635.8954745758,3746.86803638673,3614.43982141011,3842.24294544322
2016,55828.7034197841,54125.5037691659,58636.4283262015,16448.002316436,15965.9251328227,17518.0007506999,35522.7446691552,34431.0085783174,37239.2374396984,3865.066041229,3728.57005802588,3965.99029757925
2017,56443.6524605962,54709.2803341062,59313.2612417726,16487.4960726415,16000.1260401184,17473.8169151411,35975.0494026758,34864.3298839991,37837.1741904992,3985.82456554843,3844.82440998871,4091.7557626889
2018,57082.382190023,55314.9749990998,60011.0345805114,16526.7246324463,16035.3310553304,17451.5280514037,36446.4323709678,35316.6750300371,38431.7683046744,4108.41174415056,3962.96891373219,4219.80831399365
2019,57729.5165686449,55934.8420625804,60721.541572707,16562.0123614534,16069.6795783445,17447.3382558668,36925.9894212767,35780.6433136552,39017.5487984131,4234.338120334,4084.51917058076,4351.24178123942
2020,58317.6579710988,56499.6749237937,61368.9577282353,16561.2985192921,16065.364106477,17416.055725747,37391.0791568137,36227.994524938,39567.1405718007,4360.31361760566,4206.31629237866,4482.7216010648
2021,58924.261092361,57080.1470134397,62031.320864605,16562.9708513439,16062.3026079029,17399.4978519443,37868.4948477442,36686.5682254017,40113.6998619199,4489.87274434841,4331.27618013509,4617.86406548961
2022,59529.198839454,57668.1605227711,62698.7842963167,16562.2764435887,16060.4353068762,17390.663964572,38348.7024900217,37150.0374358862,40656.1848481788,4621.07332021678,4457.68778000868,4754.28135953104
2023,60148.2562014367,58262.1726302893,63371.0654489956,16560.2633576686,16058.1054862909,17389.1799824515,38834.0605382918,37618.3480215764,41194.4846373486,4753.5646509849,4585.71912242206,4892.65185606341
2024,60770.2650678822,58861.0193756338,64046.8991015429,16551.1220013706,16049.5281718101,17384.878041333,39328.9078538579,38096.105870367,41736.9820354069,4887.42845596768,4715.38533345665,5032.98682834659
2025,61336.4606116086,59405.1869935462,64661.6970578473,16501.635580765,15999.9213876093,17337.7294976574,39809.2625593155,38563.1809137892,42264.3821466631,5017.9706238804,4842.08469214769,5169.91422962825
2026,61908.9673578995,59959.3240168755,65285.2840864664,16450.4134618879,15948.3144533694,17289.7898398259,40298.2430717385,39040.8829713915,42799.9704197815,5150.02947307753,4970.12659211456,5307.99870503886
2027,62480.7889036071,60515.5564874601,65908.8482955186,16397.1688269789,15895.2292087736,17240.5492053689,40795.4087525941,39522.8323196217,43337.0192229003,5281.44683461866,5097.49495906479,5445.5959348046
2028,63054.6774245804,61072.3836928567,66532.7065577594,16342.6688004252,15840.7668125295,17189.1936849478,41295.939580723,40006.5044781231,43876.1810349478,5413.87920560087,5225.11240220413,5583.67691195638
2029,63630.6005096997,61630.0887779583,67156.6243434937,16281.2316289929,15779.4744694256,17130.9086288034,41798.8808722207,40495.6674889091,44419.9480982289,5548.58134375351,5354.94681962361,5723.83734453599
2030,64162.3135957098,62146.465398943,67733.6567413363,16234.3238756087,15733.2441073753,17086.3684215738,42252.1555362296,40934.8770647763,44909.7654965882,5675.17069978342,5478.34422679148,5856.94106846944
