"Year","V2","V3","V4"
2000,96.7101364057651,82.0685693259978,179.771232498268
2001,122.67328817431,102.049512084005,214.167185668725
2002,147.624460618193,119.979935461451,251.441354309113
2003,172.077164901004,136.237336736612,292.217026628508
2004,194.663250900446,150.264680201941,325.516804079629
2005,213.816615169572,161.997242965758,350.37230869026
2006,225.469071548946,169.622082571076,360.450610348316
2007,230.171132273259,172.43160419772,355.631396601775
2008,225.526363578537,167.435996547394,336.599047139064
2009,220.658005335192,164.206033110417,320.086059053396
2010,213.701926862529,159.603423418542,300.131607528039
2011,203.761380677801,154.533112587377,282.560881428282
2012,186.623321665398,141.585518668322,253.092588444122
2013,167.643422529083,127.775991193223,224.226832252323
2014,151.298044684385,115.793729934929,203.444907070614
2015,137.42530327293,105.737437266068,188.94668170453
2016,124.866716262432,96.8134080164236,177.978377159583
2017,111.33370465653,85.8437991168226,160.82920900898
2018,99.435945140573,77.1433110136819,147.956411599476
2019,89.043400242394,69.3940432327982,136.389174576241
2020,79.5333428020069,62.3063644296477,125.307735796879
2021,71.6126703445881,55.7958732864103,116.273528870417
2022,65.2964756583879,50.7833929028974,109.743706134831
2023,60.4960439984883,47.2153854382908,105.846921058099
2024,56.731586463734,44.4523198534721,102.990618766696
2025,53.6866211546908,42.2205292644274,100.711684641842
2026,51.1166841034953,40.3108110755771,98.6655964632755
2027,48.8328556092758,38.5249951887257,96.7040057916015
2028,46.7291495180892,36.8178154972054,94.7748959370957
2029,44.7546595405343,35.1713943292028,92.8587402615506
2030,42.9812622004785,33.6587553901095,91.023914674768
2031,41.311498648397,32.2427330579175,89.2195460781978
2032,39.7481501845454,30.902412893441,87.4151983914763
2033,38.3104994292625,29.6305713504619,85.6085953289969
2034,36.8937099927961,28.4174730454803,83.7968720027864
2035,35.573809915879,27.2742177312194,82.0271135334549
2036,34.2922859231536,26.1929114022477,80.2840720347069
2037,33.1294970760475,25.1585710015161,78.6951841067023
2038,31.9995873343522,24.1666854601738,77.1501950832274
2039,30.866069794951,23.2118760759352,75.577367431624
2040,29.7849957912303,22.3037797658806,74.0165048149972
2041,28.7951471571119,21.4400869259257,72.46276360702
2042,27.8188754371577,20.6079069376866,70.885482827887
2043,26.8794684356579,19.8047816308282,69.2861886971071
2044,25.9884402431673,19.0290636271994,67.6662646495624
2045,25.1245417732138,18.2896258788204,66.0667477555678
2046,24.290405311588,17.5837961526465,64.4839473467342
2047,23.4939572181149,16.9014461662154,62.8916867901642
2048,22.6950006647364,16.2407022825621,61.2901302893665
2049,21.9082082703166,15.6007329770805,59.6814426125389
2050,21.1610715251609,14.9888767816071,58.099363319377
