"Year","V2","V3","V4"
2000,177.060375865157,132.22282506696,239.829309777251
2001,217.504949844811,159.599041250205,303.114351731027
2002,255.876247037177,183.603074400348,362.593504538788
2003,292.56611717804,204.044164773708,418.17756980716
2004,325.353848021965,220.068654790793,462.546330665314
2005,351.60325458977,232.783931048033,494.922939010919
2006,366.737114051873,239.698584574314,506.910464172516
2007,369.268991985962,240.320923981093,497.646997997218
2008,360.700409983214,233.959407807398,480.802930892194
2009,350.790403641027,229.016792553558,462.576466593634
2010,337.964944445033,222.512239653264,438.301933618232
2011,320.838451254842,214.871431239552,405.690877161962
2012,294.007011494207,197.961420481118,363.759006590385
2013,266.071289262711,178.227822278782,320.521458544733
2014,241.663432833756,164.081709273376,281.078237001755
2015,220.722497934412,151.721937235921,248.983455276325
2016,201.451999036008,140.370257358612,233.72717593136
2017,181.772536284851,125.747016826716,214.725810420343
2018,164.321621881906,114.758388331697,199.755668669225
2019,149.918307373299,104.918054795799,186.348087301612
2020,136.416550727553,95.9601118924433,173.728736073981
2021,125.09458608746,88.7137109573821,163.173093916933
2022,115.634504691889,82.465114129826,155.143163711951
2023,108.019324797768,77.2493235434229,149.822059681445
2024,101.869710988792,72.7533565240384,145.797641968434
2025,96.9257497622931,68.8784122450977,142.631521305384
2026,92.9242580232923,65.5925239080046,139.880845170505
2027,89.2808527292934,62.6969715042241,137.335771040698
2028,86.0307228428641,60.0869047914201,134.908628261808
2029,83.1095418531045,57.7030636268258,132.559940245892
2030,80.5990280202937,55.5561842508652,130.374168332463
2031,78.2472197233567,53.5691882732188,128.259762632298
2032,75.9292209582684,51.6947646104785,126.156511805224
2033,73.8444449222387,49.9195488603874,124.05973547832
2034,71.9449081853593,48.2287958968092,121.960022154668
2035,70.0094135818018,46.650451741756,119.929324832152
2036,68.319290525598,45.1603090920119,117.935722181494
2037,66.6181929430098,43.7289026110971,115.931185893213
2038,65.0020578313455,42.3514700572988,113.913036554217
2039,63.4915228023705,41.0216731165492,111.879718363802
2040,61.9895488997782,39.7647484760561,109.891756654249
2041,60.5951308860483,38.5688574750728,107.932181295303
2042,59.3056996054846,37.4098808518473,105.957622559343
2043,58.0078830028547,36.2861139915341,103.967111766455
2044,56.7560373138032,35.1961669691891,101.962697116593
2045,55.5299128505006,34.1616992868704,100.008840875477
2046,54.3731101310705,33.1716210801834,98.0868115533083
2047,53.2310264313747,32.2081379117334,96.1568593398698
2048,52.0754122404415,31.2700676996202,94.2199062841024
2049,50.9860215708489,30.3569750395013,92.27830906838
2050,49.8788133244296,29.4862097251964,90.3851488271426
