"Year","V2","V3","V4","V5","V6","V7","V8","V9","V10"
2000,677.433889209727,473.154365342884,828.898379971053,287.227540338369,175.861874857308,403.5493006752,873.128877318125,607.314360309995,1079.13958496072
2001,808.588912358127,575.893280032449,991.862350771768,342.951087860064,217.422993978073,482.48341066735,1037.98578595389,733.460291426925,1296.82055522371
2002,930.969573256638,667.168291900726,1160.67812031145,393.659236747095,252.58030500115,552.194527064181,1189.67500759591,845.667558378305,1506.42588177003
2003,1043.40312021139,752.981036310675,1314.45523460033,443.736586466019,285.189865973245,630.034737568331,1323.34572920668,949.826799425989,1695.19816617891
2004,1134.41954069156,824.447507711941,1446.04217182509,484.925847463405,311.594919626161,722.848876643163,1434.96637552614,1035.01485471806,1845.47500274428
2005,1204.29622244858,882.317616431032,1544.22541216921,518.510696123476,334.173284922086,807.473413768744,1516.21049700052,1103.63431184797,1951.45798555066
2006,1235.09531373999,914.080284073707,1572.3269737307,535.177406997616,345.450027041716,861.226901027914,1550.74353860827,1140.01981094764,1992.94372979036
2007,1227.26999537125,915.969115421081,1543.01109557905,532.401690825805,345.911928075341,876.532906671078,1536.11260268067,1141.78324895873,1954.13066682628
2008,1171.82459757261,886.154687022176,1452.04429125425,519.187361839372,342.408784453219,860.612654526616,1460.68409466299,1102.49087458095,1820.67722451312
2009,1136.61891224115,875.390337258389,1386.47663028098,498.385271083637,337.17768287765,813.214470119161,1415.5560427318,1083.35315303754,1735.16453143847
2010,1086.06964298871,852.061388498944,1309.95972385069,474.76263933547,329.442173301683,743.951071149999,1357.01096758581,1051.98606188287,1639.93858983681
2011,1039.76737562057,824.258585083084,1241.12969012744,438.485493285847,312.123223809945,655.278195260246,1303.55061457402,1024.95946020118,1564.10991539956
2012,937.923692529323,752.95996305538,1103.95162084474,399.710521161893,291.21740136422,569.430888604812,1170.74891725199,935.95841699564,1394.07591017281
2013,842.492120030546,685.358188161257,993.212436550184,361.262177008642,271.351252389189,503.677556628241,1044.33431750448,851.816873352574,1240.5904396621
2014,774.899786192722,640.892546826604,913.757229628907,325.059453499894,252.817339702287,447.51166856163,964.268141637232,799.795987546107,1142.14565493693
2015,714.213643698501,598.412307471927,858.339581624431,295.709710926862,237.938146293,401.012039979603,889.159010197111,745.263876723316,1078.25707140143
2016,660.848999632935,557.851617212734,819.881579170552,269.774745131124,224.389341261476,359.859411452627,823.140025051863,695.372896678139,1020.37337451188
2017,593.392698068351,490.97377694586,755.189075892011,247.276042803039,205.8186328661,330.563187266354,734.483483342101,607.44750380383,934.008550348434
2018,545.037690514257,442.447467811826,712.979266593898,225.760169757968,182.9613510006,309.405811979006,673.550006286659,546.975829589716,880.034735556583
2019,503.327878195361,399.888705229772,672.02182438118,207.300394961906,163.487662681657,290.704801753591,619.301368780722,493.651878270942,827.243827246932
2020,462.777569230931,362.049727785434,632.24507056138,192.042778772812,146.78234275533,274.49229097774,569.951324347025,444.858902176888,775.282749611557
2021,431.492047366689,332.502559088947,601.503286869441,177.669369800162,132.077273801444,259.002849821632,529.773903579397,404.951163594267,736.076165200735
2022,408.234934258062,310.643547174279,580.2324971907,165.801306901918,120.035257588003,245.886003106522,500.200787839112,375.639514733114,709.47627882959
2023,392.681216486538,295.759205946697,568.667880187856,156.596504140025,110.368247999669,235.711637358562,480.863416249673,355.627416370468,695.558021648251
2024,378.452382625542,281.201735853903,558.296663789967,148.63472996776,102.707558697313,227.545834338519,463.668919075393,337.914573585395,682.511760823039
2025,366.718345760082,268.254895397418,549.063724654293,142.756970655793,96.9464639362134,221.86124637738,448.036094218111,321.853072595295,669.913039781312
2026,355.769443253941,256.546302069607,540.226067500564,137.884713187713,91.9618784867697,216.679836207511,433.142913126088,307.225792232292,658.220441589209
2027,345.158090240741,245.791149049126,531.573297724646,133.004623270503,87.5067066598463,211.76674734614,419.365328846814,293.748619055163,646.981781726443
2028,335.058473684852,235.831810839483,523.05525056004,128.779303936339,83.5286996174463,207.136375198424,406.231947157404,281.22122967407,635.775644433046
2029,325.778820389961,226.567288509906,514.639508022339,124.967684063562,80.0538462748292,203.086568780747,394.027803490479,269.457519358946,625.125140155795
2030,317.006846005606,218.101598800706,506.718805565254,121.71326420958,77.1433726942206,199.9113438847,382.472299237454,258.679097386392,615.014971244415
2031,309.214807669636,210.212147874823,498.978094207265,118.562254570484,74.2578937061199,196.329453638087,372.318664636432,248.737425131745,605.137856348251
2032,301.449089355908,202.767069225865,491.230495692084,115.467644371326,71.5943085914851,192.888244294811,361.406882580375,239.339731016509,595.104294609756
2033,294.164637895963,195.725814255125,483.466461535379,112.516026296555,69.0952451276112,189.518237227684,351.653401109925,230.453655622008,584.895640913728
2034,287.017053272433,189.046228634673,475.653542770197,109.772727698939,66.7301747563882,186.141093447742,342.078906382667,222.028540568998,574.515079055328
2035,280.041786859332,182.831566393324,468.112864228621,107.346394343827,64.699491790331,183.357756492027,332.752827370497,214.222272225022,564.58829590148
2036,273.452079942194,176.985138569406,460.702405864373,104.807964033704,62.6728641176685,180.342860583325,324.717594852757,206.932937191955,554.803765025973
2037,267.250067285425,171.40298346546,453.227535043377,102.542480424362,60.7492599089102,177.359393811183,317.009577396993,199.975560516686,544.847965572496
2038,261.494135309926,166.066325115207,445.686683682693,100.151348921623,58.9062451822405,174.364804878465,309.148891410774,193.331278006159,534.76105096224
2039,255.578698159215,160.9557274421,438.077836193365,97.9373991979957,57.1179189222857,171.316717476824,301.673691726108,186.983517174458,524.525607985244
2040,249.96195990151,156.158000008584,430.661277480915,96.218866000381,55.5817186372815,168.804128822082,294.7947712031,181.043808178773,514.625818143154
2041,244.670324371653,151.619166264124,423.352609980383,94.4322585077252,54.024869887971,166.041742374833,288.164657784658,175.464226650392,504.870136934581
2042,239.661685403,147.251174113839,415.970833704407,92.5702117876316,52.529647290163,163.273031103886,281.793394465974,170.101321330058,494.989108108246
2043,234.710078650258,143.045018925868,408.52382280852,90.7809759506406,51.0752359847059,160.458797111335,275.325830954081,164.946671203888,484.98308051922
2044,229.880415137071,138.992223014973,401.022418439954,88.8795306717233,49.6669518437239,157.607998052131,269.125212335854,159.988451947452,474.880645026021
2045,225.360431243041,135.167798655192,393.710733713516,87.4072127418011,48.4606773021296,155.250488730835,263.156319766591,155.295474565089,464.995341597924
2046,220.878924954141,131.526754608998,386.516977102649,85.8221459859166,47.214608040764,152.631258685835,257.367772164039,150.865054260733,455.295576591797
2047,216.296400643929,128.006558906884,379.294211139065,84.3084283061875,46.0024595426378,149.981299982263,251.830079215017,146.589663255574,445.556696213477
2048,211.797015997743,124.602631942514,372.050388550315,82.8336086347939,44.8293517658818,147.340178716921,246.527013607071,142.458743712606,435.774568643962
2049,207.759299449718,121.310155997661,364.792690587855,81.3105220915549,43.683739347762,144.664778936506,241.408385394488,138.471169792068,425.982434997476
2050,203.613481639713,118.187780627197,357.71483804609,80.0061816301959,42.6854767686896,142.372900415651,236.042782454964,134.666777602779,416.367069563768
